No,Nombre,Valor
0,car,0.0
1,chevrolet_aveo,0.08
2,chevrolet_spark,0.06
3,chevrolet_vitara,0.06
4,chevrolet_sail,0.05
5,chevrolet_dmax,0.05
6,toyota_yaris,0.05
7,toyota_corolla,0.07
8,toyota_fortuner,0.03
9,mitsubishi_asx,0.04
10,mitsubishi_lancer,0.03
11,mitsubishi_l200,0.03
12,mitsubishi_montero,0.03
13,kia_rio,0.04
14,kia_sportage,0.02
15,kia_picanto,0.04
16,hyundai_tucson,0.06
17,hyundai_creta,0.03
18,hyundai_grand_i10,0.03
19,hyundai_hilux,0.03
20,nissan_sentra,0.02
21,mazda_3,0.03
22,mazda_bt50,0.03
23,volkswagen_gol,0.05
24,suzuki_grand_vitara,0.04
